Site,plot_id,soil_texture,soil_ph,pine,spruce,pine_percentage,spruce_percentage,abundance,stand_density,polytrichum_remmuone,sphagnum_palustre,plagiothecium_undulatum,rhytidiadelphus_loreus,hypnum_sp,pleurozium_schreberi,breutelia_chrysocoma,rhytidiadelphus_triquetrus,thuidium_tamariscinum,cephaloziella_bicuspidata,Moss 12,Moss 13,Moss 14,Liverwort 1,Lophocolea bidentata,Vaccinium vitis idea,Vaccinium myrtillis,Calluna vulgaris,Deschampsia flexuosa,Molinia caerulea,Blechnum spicant,Goodyera Repens (Orchid 1),Abundance,inv_simpson,shannon,exp_shannon,LAI,canopy_open,lat,long
1,1,Silty Clay Loam,3.14,6,23,20.68965517,79.31034483,,0.29,25,23,20,17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,107,4.920068758,1.601142209,4.958693057,3.7306,0.0634,57.17659,3.70370
1,2,Silty Clay,2.93,14,13,51.85185185,48.14814815,,0.27,0,2,0,23,25,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,78,3.8025,1.411914997,4.10380666,2.468,0.2712,57.17625,3.70391
1,3,Silty Clay,3.18,12,11,52.17391304,47.82608696,,0.23,0,2,5,9,25,10,1,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,71,4.578564941,1.722348777,5.597660693,2.6554,0.1632,57.17607,3.70413
1,4,Silty Clay,2.98,10,18,35.71428571,64.28571429,,0.28,3,0,24,4,25,25,11,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,102,5.065238559,1.760169218,5.813421049,3.4597,0.2566,57.17584,3.70410
1,5,Silty Clay,3.26,6,13,31.57894737,68.42105263,,0.19,0,0,25,0,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.86440678,1.073394281,2.925291931,4.3454,0.0287,57.17560,3.70407
2,6,Silty Clay,2.99,24,4,85.71428571,14.28571429,,0.28,0,4,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.177777778,0.895731173,2.449125869,2.5785,0.2464,57.17437,3.69806
2,7,Silty Clay,2.95,25,5,83.33333333,16.66666667,,0.3,19,2,25,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3.873271889,1.423167123,4.15024398,2.4589,0.2444,57.17463,3.69830
2,8,Clay,2.83,26,6,81.25,18.75,,0.32,0,5,6,17,0,25,4,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,87,4.612431444,1.690062929,5.41982176,2.4771,0.2432,57.17483,3.69861
2,9,Clay,2.95,20,11,64.51612903,35.48387097,,0.31,0,0,18,11,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.919925512,1.16353509,3.201229934,2.8044,0.1372,57.17485,3.69901
2,10,Clay,2.9,29,5,85.29411765,14.70588235,,0.34,0,0,25,13,0,25,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,77,3.67120743,1.340754311,3.82192534,2.6306,0.2106,57.17500,3.69956
3,11,Silty Clay,4.06,0,18,0,100,,0.18,0,0,15,0,5,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,0,51,2.855104281,1.188876711,3.283390938,2.986,0.165,57.17943,3.71024
3,12,Silty Clay,3.25,0,16,0,100,,0.16,0,0,3,0,12,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,33,2.636803874,1.106736938,3.024473231,4.478,0.0692,57.17970,3.71089
3,13,Silty Loam,2.87,0,21,0,100,,0.21,0,0,8,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,2.437681159,0.986463366,2.681733372,4.005,0.0481,57.17987,3.71126
3,14,Clay,2.89,0,29,0,100,,0.29,0,2,4,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,23,2.351111111,1.084445899,2.957800445,4.312,0.0488,57.18007,3.71115
3,15,Silty Clay,3.02,2,34,5.555555556,94.44444444,,0.36,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,3.562,0.0557,57.18047,3.71221
4,16,Silty Clay,2.82,5,0,100,0,,0.05,0,0,25,0,0,25,0,0,0,0,2,2,0,0,7,3,6,15,0,0,0,0,85,4.58148383,1.713181872,5.546581942,0.626,0.6161,57.1045,3.4338
4,17,Silty Clay Loam,2.79,3,0,100,0,,0.03,0,0,17,0,1,22,0,0,4,0,0,0,0,0,2,4,11,16,0,0,0,0,77,4.99494524,1.754422595,5.780109317,0.531,0.6879,57.1044,3.4338
4,18,Sandy Clay Loam,2.77,6,0,100,0,,0.06,0,0,20,0,0,6,0,0,11,0,0,0,0,0,5,21,4,25,0,0,0,0,92,5.086538462,1.749600706,5.752305358,0.643,0.6688,57.1042,3.4348
4,19,Silty Clay,2.78,4,0,100,0,,0.04,0,0,11,0,0,25,0,0,0,0,1,0,2,0,2,25,24,1,0,0,0,0,91,4.23147675,1.583754892,4.873219916,0.589,0.662,57.1041,3.4338
4,20,Silty Loam,2.75,5,0,100,0,,0.05,0,0,0,0,0,25,0,0,0,0,0,2,7,0,2,13,18,17,0,0,0,0,84,4.819672131,1.687941614,5.408336795,0.731,0.5246,57.1040,3.4339
5,21,Sandy Loam,4.7,27,0,100,0,,0.27,21,0,25,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,16,1,0,75,4.061371841,1.54994101,4.711192262,1.821,0.2913,57.18572,3.71633
5,22,Loamy Sand,3.24,27,0,100,0,,0.27,0,0,15,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,24,2.285714286,1.117146858,3.056122203,1.762,0.2236,57.18551,3.71661
5,23,Silty Loam,4.36,24,0,100,0,,0.24,1,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,10,0,1,22,3.558823529,1.492737812,4.449260098,1.564,0.3353,57.18523,3.71688
5,24,Sandy Clay Loam,3.63,17,0,100,0,,0.17,0,0,25,0,0,25,0,0,6,0,8,0,0,11,19,0,0,0,0,7,0,0,101,5.42317916,1.800541903,6.052926672,1.436,0.3596,57.18494,3.71723
5,25,Sandy Loam,3.7,29,0,100,0,,0.29,8,0,20,0,0,25,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,68,3.519025875,1.312995552,3.717292392,2.199,0.234,57.18469,3.71736
6,26,Sandy Loam,3.07,16,0,100,0,,0.16,0,0,25,0,0,25,0,0,0,0,1,0,0,0,8,0,1,0,0,1,0,0,61,3.009097801,1.324415305,3.759986265,1.711,0.3559,57.185278,3.719167
6,27,Sandy Clay Loam,3.59,28,0,100,0,,0.28,18,0,24,0,0,3,0,12,0,0,0,0,0,7,3,0,0,0,0,13,0,0,80,5,1.736073512,5.675016735,1.781,0.3026,57.185,3.719444
6,28,Silty Clay Loam,3.26,19,0,100,0,,0.19,4,0,25,0,0,0,0,0,1,0,0,0,0,11,8,0,0,0,0,4,0,3,56,3.680751174,1.563379053,4.774928753,1.788,0.2328,57.184722,3.719722
6,29,Silty Clay Loam,4.03,23,0,100,0,,0.23,0,3,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,21,4,0,0,78,3.545454545,1.360301433,3.897367918,2.063,0.2194,57.184444,3.72
6,30,Silty Clay Loam,3.82,15,0,100,0,,0.15,25,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,1.946472019,0.753411998,2.124235554,1.833,0.2712,57.184167,3.720556
